facultynum,fac_reservation,effect1,effect2
1,0,-6.834804548962348e-14,6.471924736825747e-13
2,1,0.04160727569610947,0.01393803403034721
3,0,0.02241117572260625,0.03491563468803611
4,0,0.00738110785727892,0.02727532616679666
5,0,9.376644876982472e-16,0.0110455433804105
6,0,9.039400875214316e-17,0
7,0,-0.02542535770158262,-0.02052124008504178
8,0,NA,0.00876501925522365
9,0,0.00507520759053351,-0.01045061224176201
10,0,-0.00507520759053342,0.010450612241762
11,0,-0.03859309371713201,-0.02833242863334268
12,0,0.02191571272923273,0.01792488718797039
13,0,0.06170760496669043,-0.00709181836161089
14,0,-0.10482990450972755,-0.0654337928717642
15,0,2.0911484402597061e-16,0.0260668235988409
16,0,-0.02924519463799109,-0.01300783128581763
17,0,-0.02286451482914479,-0.01892035306256585
18,0,7.863088354150248e-17,-0.03483184285406544
19,0,-3.145235341660099e-17,1.302251032988885e-16
20,1,1.0076652640718504e-15,-1.3270896646306302e-15
21,0,1.8040056547847055e-17,-2.4050549716207894e-17
22,1,0.01273150165839077,0.0062039604177855
23,1,3.7742824099921196e-17,-2.930064824224991e-16
24,0,0.0532036867652723,0.04200407842879584
25,0,NA,0.02398874071428671
26,0,NA,-0.00671583722381409
27,1,0.0539245162779028,0.04178671769439919
28,1,0.0166321643050521,0.01264225594811406
29,0,0.03546217211265533,0.01363044077753872
30,0,0.02791480631675298,0.02183689319705699
31,1,1.017474979216178e-15,-5.8890876022421435e-16
32,0,-0.02017909878956438,-0.02467960150917747
33,1,3.5021443729577745e-4,0.00794186131077997
34,1,0.00115160029237428,0.00802417144260227
35,1,5.313414789273438e-4,-0.00680616678269375
36,0,NA,-0.03198261138242082
37,0,-0.02835192088937462,-0.02151765360360616
38,0,-0.0640618388501961,-0.06609201167355841
39,0,NA,0.04427670152222022
40,0,1.0379267375923826e-15,-1.0158676113867697e-15
41,1,NA,0.03455245300280234
42,0,-0.00514575075080115,-0.00427992945707443
43,0,-0.01822820594102964,-0.02212136151226058
44,0,NA,-0.02751774857826511
45,0,5.010680802170123e-16,0.00303268611306183
46,0,0.03392022947348943,-0.02381643532174264
47,0,8.682704968291058e-18,-2.3331688491018382e-17
48,0,0.137354951729319,0.06125786823406713
49,1,2.1706762420727637e-18,2.235953480389261e-17
50,1,NA,-1.9558957425814923e-16
51,0,-0.00951676732017668,-0.04745031576621067
52,0,-5.515337335945315e-17,0.03360570061444141
53,0,-0.15890858983027809,-0.08686134440527318
54,0,0.15244957718913582,0.1715032784946494
55,0,0.02282138709725234,-0.02262760793162086
56,1,0.00644631292240326,-0.0160565787117332
57,0,-0.04426463826504027,0.02520689977146116
58,0,0.06015435621517182,0.05552780175123711
59,0,-0.15244957718913563,-0.17150327849464955
60,0,2.6048114904873174e-17,7.777229497006126e-18
61,0,-0.06718298625605533,-0.1092202044746086
62,0,8.682704968291058e-18,1.1665844245509191e-17
63,0,0.00221065973706468,0.00983673631445479
64,0,0.09589789346025332,0.07904862837739957
65,0,0.03491238435414822,0.0134759966073756
66,0,-0.08707941856591916,-0.02338168073966211
67,0,-0.0253956170339716,0.03397431915883468
