department_id,course,bfac_reservation,bfac_female,bfac_degree_college_elite,bfac_highest_degree_phd_in_prog,bfac_highest_degree_phd,bfac_highest_degree_masters,bfac_yearsinhighed,bfac_professor,bfac_associate_professor,bfac_assistant_professor,facultynum,studentnum,reservation_stu,female,age,father_college,mother_college,b_i_jeemain_score,took_jee,e_ee_short_score,e_cs_score,expgrad4,e_attend_grad_school
IR004CS,C342,0,1,0,0,0,1,6,0,0,1,1,18,0,0,20,0,0,90,1,NA,40,1,1
IR004CS,C342,0,1,0,0,0,1,6,0,0,1,1,20,0,0,20,0,0,71,1,NA,41,1,1
IR004CS,C342,0,1,0,0,0,1,6,0,0,1,1,100,0,0,22,1,1,90,1,NA,NA,1,1
IR004CS,C342,0,1,0,0,0,1,6,0,0,1,1,103,0,1,20,1,1,NA,1,NA,42,1,1
IR004EE,C87,0,1,0,0,0,1,6,0,0,1,1,130,0,0,20,1,1,76,1,7,NA,1,1
IR004CS,C154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,46,0,0,21,0,1,59,1,NA,40,1,1
IR004CS,C157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,46,0,0,21,0,1,59,1,NA,40,1,1
IR004EE,C154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,107,0,0,20,1,1,91,1,5,NA,1,0
IR004EE,C154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,108,0,0,20,1,0,42,1,4,NA,1,0
IR004EE,C157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,108,0,0,20,1,0,42,1,4,NA,1,0
IR004EE,C337,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,108,0,0,20,1,0,42,1,4,NA,1,0
IR004EE,C154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,110,0,0,19,1,1,100,1,13,NA,1,0
IR004EE,C21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,111,0,1,20,1,0,45,1,6,NA,1,1
IR004EE,C154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,111,0,1,20,1,0,45,1,6,NA,1,1
IR004EE,C157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,111,0,1,20,1,0,45,1,6,NA,1,1
IR004EE,C261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,111,0,1,20,1,0,45,1,6,NA,1,1
IR004EE,C499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,111,0,1,20,1,0,45,1,6,NA,1,1
IR004EE,C154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,112,0,1,20,1,0,30,1,5,NA,1,1
IR004EE,C87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,113,0,0,19,1,0,78,1,5,NA,1,1
IR004EE,C154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,115,0,0,20,0,0,NA,0,7,NA,1,1
IR004EE,C154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,116,0,0,21,1,0,60,1,4,NA,1,0
IR004EE,C157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,116,0,0,21,1,0,60,1,4,NA,1,0
IR004EE,C154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,117,0,0,20,0,0,NA,0,NA,NA,1,NA
IR004EE,C157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,117,0,0,20,0,0,NA,0,NA,NA,1,NA
IR004EE,C154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,118,0,0,20,1,0,NA,0,3,NA,1,1
IR004EE,C154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,119,0,0,NA,1,0,41,1,1,NA,1,1
IR004EE,C154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,120,0,1,19,1,1,60,1,5,NA,1,0
IR004EE,C154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,121,0,0,21,1,0,98,1,3,NA,1,1
IR004EE,C154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,122,0,0,20,0,0,80,1,NA,NA,1,NA
IR004EE,C157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,122,0,0,20,0,0,80,1,NA,NA,1,NA
IR004EE,C21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,123,0,0,21,1,0,NA,0,2,NA,1,0
IR004EE,C134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,124,0,0,23,0,0,NA,0,6,NA,1,1
IR004EE,C154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,124,0,0,23,0,0,NA,0,6,NA,1,1
IR004EE,C213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,124,0,0,23,0,0,NA,0,6,NA,1,1
IR004EE,C228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,124,0,0,23,0,0,NA,0,6,NA,1,1
IR004EE,C234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,124,0,0,23,0,0,NA,0,6,NA,1,1
IR004EE,C421,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,124,0,0,23,0,0,NA,0,6,NA,1,1
IR004EE,C422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,124,0,0,23,0,0,NA,0,6,NA,1,1
IR004EE,C154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,125,0,0,20,0,0,39,1,2,NA,1,1
IR004EE,C154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,126,0,0,21,1,1,70,1,5,NA,1,1
IR004EE,C21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,128,0,0,20,0,0,NA,0,2,NA,1,0
IR004EE,C154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,128,0,0,20,0,0,NA,0,2,NA,1,0
IR004EE,C88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,129,0,0,19,0,0,NA,0,NA,NA,1,NA
IR004EE,C91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,129,0,0,19,0,0,NA,0,NA,NA,1,NA
IR004EE,C134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,129,0,0,19,0,0,NA,0,NA,NA,1,NA
IR004EE,C154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,129,0,0,19,0,0,NA,0,NA,NA,1,NA
IR004EE,C205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,129,0,0,19,0,0,NA,0,NA,NA,1,NA
IR004EE,C228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,129,0,0,19,0,0,NA,0,NA,NA,1,NA
IR004EE,C213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,129,0,0,19,0,0,NA,0,NA,NA,1,NA
IR004EE,C273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,129,0,0,19,0,0,NA,0,NA,NA,1,NA
IR004EE,C274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,129,0,0,19,0,0,NA,0,NA,NA,1,NA
