facultynum,department_id,fac_yearsinhighed,fac_degree_college_elite,fac_publications,fac_female,fac_highest_degree_phd,fac_highest_degree_phd_in_prog,fac_highest_degree_masters,fac_professor,fac_associate_professor,fac_assistant_professor,fac_reservation,sw_f,funding_yesno,admin_position_yesno,univcode,majtype,efac_pub_intl,efac_pub_sci_ei_ssci,govt_funding_yesno,private_funding_yesno
1,IR001EE,4,1,9,0,1,0,0,0,0,1,0,17.75,1,0,IR001,EE,1.6666666666666667,1.6666666666666667,1,1
2,IR001CS,7,1,1.3333333333333333,1,1,0,0,0,0,1,0,17.75,1,0,IR001,CS,0.3333333333333333,0,1,0
3,IR001EE,7,0,10,0,1,0,0,0,1,0,0,17.75,1,1,IR001,EE,10,10,1,0
4,IR001CS,5,0,5.666666666666667,0,1,0,0,0,0,1,0,17.75,1,0,IR001,CS,1,1,1,1
5,IR001EE,2,1,2.6666666666666665,0,1,0,0,0,0,1,0,17.75,1,1,IR001,EE,0.6666666666666666,0.6666666666666666,1,0
6,IR001CS,NA,NA,0,NA,1,0,0,1,0,0,NA,17.75,0,NA,IR001,CS,0,0,0,0
7,IR001CS,6,1,10,0,1,0,0,0,0,1,0,17.75,1,1,IR001,CS,2.3333333333333335,2.3333333333333335,1,0
8,IR001CS,9,0,8.333333333333334,1,1,0,0,0,1,0,0,17.75,1,1,IR001,CS,3.3333333333333335,3.3333333333333335,1,0
9,IR001EE,3,1,3.6666666666666665,1,1,0,0,0,0,1,0,17.75,0,0,IR001,EE,2.6666666666666665,0,0,0
10,IR001CS,4,1,1.3333333333333333,0,1,0,0,0,0,1,0,17.75,1,1,IR001,CS,0.3333333333333333,0.3333333333333333,1,0
11,IR001EE,4,0,10,0,1,0,0,0,0,1,0,17.75,1,0,IR001,EE,1,1,1,0
12,IR001EE,NA,NA,0,NA,0,1,0,NA,NA,NA,NA,17.75,0,NA,IR001,EE,0,0,0,0
13,IR001CS,10,0,10,0,1,0,0,0,1,0,0,17.75,1,1,IR001,CS,10,10,1,1
14,IR001CS,9,1,10,0,1,0,0,0,0,1,0,17.75,0,0,IR001,CS,6.333333333333333,6.333333333333333,0,0
15,IR001CS,30,0,1,1,1,0,0,0,1,0,1,17.75,0,1,IR001,CS,0.6666666666666666,0,0,0
16,IR001CS,9,0,8,0,1,0,0,0,1,0,0,17.75,1,1,IR001,CS,6,0,1,0
17,IR001CS,9,1,6.333333333333333,0,1,0,0,0,1,0,0,17.75,1,1,IR001,CS,2.6666666666666665,2.6666666666666665,1,0
18,IR001EE,5,1,7,0,1,0,0,0,0,1,0,17.75,1,0,IR001,EE,5,0,1,0
19,IR001CS,5,1,0,0,1,0,0,0,0,1,0,17.75,0,1,IR001,CS,0,0,0,0
20,IR001CS,4,0,10,0,1,0,0,0,0,1,0,17.75,1,0,IR001,CS,3.3333333333333335,3.3333333333333335,1,0
21,IR001EE,3,0,10,0,1,0,0,0,0,1,0,17.75,1,0,IR001,EE,2.3333333333333335,2.3333333333333335,1,1
22,IR001EE,10,0,10,0,1,0,0,0,1,0,0,17.75,1,1,IR001,EE,8.333333333333334,8.333333333333334,1,0
23,IR001CS,4,1,7,0,1,0,0,0,0,1,0,17.75,1,1,IR001,CS,3.3333333333333335,3.3333333333333335,1,0
24,IR001CS,5,1,10,0,1,0,0,0,0,1,0,17.75,1,0,IR001,CS,2,2,1,0
25,IR001EE,8,1,10,0,1,0,0,0,1,0,0,17.75,1,1,IR001,EE,4,4,1,0
26,IR001EE,9,1,2.3333333333333335,0,1,0,0,0,0,1,1,17.75,0,0,IR001,EE,0.6666666666666666,0.6666666666666666,0,0
27,IR001CS,9,1,5.333333333333333,0,1,0,0,0,0,1,0,17.75,1,1,IR001,CS,1.3333333333333333,1.3333333333333333,1,0
28,IR001EE,4,1,2.6666666666666665,0,1,0,0,0,0,1,0,17.75,1,0,IR001,EE,1,1,1,0
29,IR001CS,4,NA,7,0,1,0,0,0,0,1,NA,17.75,0,0,IR001,CS,0,0,0,0
