studentnum,survey,fac_reservation,e_workprof_research,reservation_stu,female,father_college,mother_college,age,miss_age,department_id,fac_associate_professor,fac_professor,fac_yearsinhighed,fac_highest_degree_phd,fac_highest_degree_phd_in_prog,fac_degree_college_elite,fac_female
1,Hot,5.7894736842105265,0,1,0,0,0,0,1,IR045EE,2.1052631578947367,1.0526315789473684,138.42105263157896,2.6315789473684212,1.0526315789473684,4.736842105263158,5.263157894736842
2,Math,5,0,1,1,0,0,0,1,IR042CS,0,0,135,0,10,0,5
3,Hot,6.25,1,1,0,0,0,0,1,IR050CS,0,0,81.33333333333333,0.625,1.875,3.75,3.75
4,Hot,5.7142857142857135,0,0,0,1,1,0,1,IR033EE,1.4285714285714288,0,47.142857142857146,0,0,1.4285714285714288,0
5,Math,10,0,0,1,1,1,0,1,IR050CS,0,0,20,0,0,0,10
6,Hot,5.7142857142857135,0,1,1,0,0,0,1,IR036EE,0,0,72.85714285714286,0,1.25,0,2.8571428571428568
7,Hot,0,0,0,0,1,0,0,1,IR012EE,2.8571428571428568,0,161.42857142857142,4.285714285714286,1.4285714285714288,2.8571428571428568,0
8,Hot,1.875,0,0,0,1,1,0,1,IR012CS,0,0.625,91.25,1.25,2.5,0,5
9,Hot,6.363636363636365,0,1,0,1,0,0,1,IR033CS,4.545454545454545,0.45454545454545464,83.63636363636363,1.3636363636363642,2.727272727272727,2.7272727272727275,4.545454545454545
10,Hot,5.625,0,1,0,0,1,0,1,IR050CS,0,0,81.33333333333333,0.625,1.875,1.875,4.375
11,Math,0,0,0,0,1,1,0,1,IR012CS,0,10,190,10,0,0,0
12,Math,0,0,0,0,1,1,0,1,IR010CS,3.333333333333334,0,113.33333333333334,3.333333333333334,0,10,3.333333333333334
13,Hot,1.25,1,1,1,1,1,0,1,IR042CS,2.5,2.5,136.25,2.5,3.75,1.25,1.25
14,Hot,8.75,1,1,1,0,0,0,1,IR033EE,5,0,80,0,0,0,1.25
15,Math,0,1,0,0,0,0,0,1,IR012EE,0,0,100,10,0,0,0
16,Math,0,0,0,1,1,1,0,1,IR036EE,0,0,70,0,0,0,0
17,Math,7.5,0,0,1,1,1,0,1,IR033CS,7.5,0,107.5,0,7.5,0,2.5
18,Math,0,1,0,0,1,1,0,1,IR004CS,0,0,50,0,0,0,0
19,Math,10,0,1,0,1,1,0,1,IR050CS,0,0,60,0,0,0,10
20,Hot,5.833333333333334,0,0,1,1,1,0,1,IR036CS,2.5,0.8333333333333333,103.33333333333334,2.916666666666666,2.5,2.916666666666666,3.75
21,Hot,4.285714285714286,0,1,1,0,0,0,1,IR036EE,0,1.4285714285714288,70,1.25,1.25,2.8571428571428568,1.4285714285714288
22,Hot,6.25,0,1,0,1,0,0,1,IR050EE,0,0.625,82.5,1.25,0,3.75,5
23,Hot,2.592592592592593,0,0,1,1,1,0,1,IR006CS,1.851851851851852,2.2222222222222223,103.7037037037037,4.0740740740740735,0,1.8518518518518523,1.111111111111111
24,Math,0,0,1,0,0,0,0,1,IR012EE,0,0,100,10,0,0,0
25,Hot,3.75,1,1,0,0,0,0,1,IR033EE,0,0,41.25,0,0,1.25,1.25
26,Hot,5.7142857142857135,0,1,1,0,0,0,1,IR036EE,0,1.4285714285714288,80,1.25,1.25,2.8571428571428568,1.4285714285714288
27,Math,5,0,1,1,0,0,0,1,IR036EE,0,0,102.5,0,5,5,5
28,Math,0,0,1,1,0,0,0,1,IR036EE,0,0,70,0,0,0,0
29,Math,6.666666666666666,0,1,0,0,0,0,1,IR042EE,0,0,56.66666666666667,0,0,0,3.333333333333334
30,Hot,5.625,1,1,1,1,0,0,1,IR050CS,0,0,82,0.625,1.875,2.5,4.375
31,Hot,0,1,1,1,0,0,0,1,IR012EE,2.8571428571428568,0,161.42857142857142,4.285714285714286,1.4285714285714288,2.8571428571428568,0
32,Math,5,0,1,1,0,0,0,1,IR036CS,0,5,100,5,0,5,0
