studentnum,e_ee_short_score,e_cs_score,expgrad4,e_attend_grad_school,reservation_stu,female,father_college,mother_college,age,miss_age,department_id,fac_reservation,fac_associate_professor,fac_professor,fac_yearsinhighed,fac_highest_degree_phd,fac_highest_degree_phd_in_prog,fac_degree_college_elite,fac_female
1,NA,NA,0,NA,1,0,1,0,21,0,IR004CS,0.4761904761904759,0,1.1904761904761902,114.04761904761904,4.047619047619048,1.428571428571429,0.23809523809523797,4.523809523809524
2,NA,-0.7253536611797397,1,0,0,0,0,0,19,0,IR004CS,1.1111111111111107,0,1.6666666666666663,125.2777777777778,4.166666666666667,1.9444444444444449,0.2777777777777777,3.611111111111111
3,NA,NA,1,1,0,0,1,0,20,0,IR004CS,0.8695652173913047,0,1.3043478260869563,120.86956521739133,3.9130434782608696,2.608695652173912,0.43478260869565233,3.9130434782608696
4,NA,NA,1,1,0,0,0,0,19,0,IR004CS,0.43478260869565233,0,1.3043478260869563,107.82608695652176,3.0434782608695654,1.3043478260869563,0.43478260869565233,4.347826086956522
5,NA,-0.4640017438510791,1,1,1,0,0,0,20,0,IR004CS,0,0,1.6666666666666663,122.5,4.444444444444445,1.111111111111111,0,4.722222222222222
6,NA,-0.7253536611797397,1,0,0,1,1,1,19,0,IR004CS,0.8823529411764709,0,1.4705882352941178,133.23529411764704,4.411764705882353,2.058823529411765,0.2941176470588235,3.8235294117647056
7,NA,-0.7253536611797397,1,1,0,0,0,0,19,0,IR004CS,0.9090909090909092,0,1.5151515151515151,117.87878787878788,3.636363636363636,1.8181818181818177,0.3030303030303032,3.939393939393939
8,NA,NA,1,0,0,0,1,0,20,0,IR004CS,0,0,0,77.6923076923077,3.076923076923077,0.7692307692307693,0,6.923076923076923
9,NA,0.05870209080624213,1,1,1,0,1,0,20,0,IR004CS,1.0714285714285716,0,1.0714285714285716,109.64285714285714,3.571428571428571,2.142857142857143,0,4.642857142857143
10,NA,NA,1,1,0,0,0,0,19,0,IR004CS,0,0,2.058823529411765,125.88235294117648,4.411764705882352,0.588235294117647,0,4.705882352941177
11,NA,-0.7253536611797397,1,1,0,0,1,1,20,0,IR004CS,0.6896551724137929,0,1.7241379310344829,129.31034482758622,3.793103448275862,2.068965517241379,0.34482758620689646,3.793103448275862
12,NA,-0.7253536611797397,1,1,0,0,1,1,20,0,IR004CS,0.30303030303030326,0,1.515151515151515,110.9090909090909,4.242424242424242,0.909090909090909,0.3030303030303032,4.545454545454545
13,NA,NA,1,NA,0,1,1,1,19,0,IR004CS,0,0,1.875,121.875,4.0625,1.25,0.3125,4.375
14,NA,-0.20264982652241847,1,1,1,0,1,1,21,0,IR004CS,0.6451612903225811,0,1.6129032258064515,123.22580645161293,4.193548387096774,1.2903225806451617,0,4.838709677419355
15,NA,1.1041097601208845,1,0,0,0,0,0,20,0,IR004CS,1.428571428571429,0,1.1428571428571428,109.14285714285714,3.7142857142857144,2,0.2857142857142857,4.571428571428572
16,NA,NA,1,1,0,0,1,1,20,0,IR004CS,0,0,1.7647058823529411,122.05882352941175,4.411764705882353,0.8823529411764708,0.2941176470588235,5.294117647058823
17,NA,NA,1,1,0,0,1,1,21,0,IR004CS,0.34482758620689646,0,1.7241379310344829,126.89655172413794,4.827586206896552,1.379310344827586,0,4.482758620689655
18,NA,-0.7253536611797397,1,1,0,0,0,0,20,0,IR004CS,1.0714285714285714,0,1.0714285714285716,112.85714285714286,3.2142857142857144,2.5,0.35714285714285726,4.285714285714286
19,NA,-0.7253536611797397,1,1,0,0,1,0,19,0,IR004CS,0.9375,0,1.5625,123.75,3.75,2.1875,0.3125,4.0625
20,NA,-0.4640017438510791,1,1,0,0,0,0,20,0,IR004CS,0.882352941176471,0,1.7647058823529411,126.76470588235296,4.11764705882353,2.058823529411765,0.2941176470588235,4.411764705882353
21,NA,-0.7253536611797397,1,0,0,1,1,0,19,0,IR004CS,0.645161290322581,0,1.6129032258064515,123.5483870967742,3.548387096774193,1.9354838709677415,0.3225806451612905,3.548387096774193
